None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2672(lognorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2720(gilbrat_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2764(maxwell_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2809(mielke_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2837(nakagami_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2873(ncx2_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2912(ncf_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:295(FitDataError)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2970(t_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3023(nct_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:308(FitSolverError)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3106(pareto_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3163(lomax_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3209(pearson3_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3336(powerlaw_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3380(powerlognorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:340(beta_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3410(powernorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3441(rdist_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3476(rayleigh_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3516(reciprocal_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3559(rice_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3597(recipinvgauss_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3630(semicircular_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3660(triang_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:37(ksone_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3702(truncexpon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3752(truncnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3809(tukeylambda_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3856(uniform_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3886(vonmises_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3925(wald_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3959(wrapcauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:495(betaprime_gen)
        1    0.003    0.003    0.082    0.082 _continuous_distns.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:51(kstwobign_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:546(bradford_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:592(burr_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:627(fisk_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:660(cauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:700(chi_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:745(chi2_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:789(cosine_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:820(dgamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:866(dweibull_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:914(expon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:966(exponweib_gen)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:49(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:499(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _denoise.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:132(nbinom_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:189(geom_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:19(binom_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:245(hypergeom_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:358(logser_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:404(poisson_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:455(planck_gen)
        1    0.000    0.000    0.011    0.011 _discrete_distns.py:5(<module>)
